CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,CVE_LOC,NOM_LOC,CVE_SUN,NOM_SUN,POB_2018
01,Aguascalientes,01011,San Francisco de los Romo,,,M01.01,Aguascalientes,42531
01,Aguascalientes,01005,Jesús María,,,M01.01,Aguascalientes,116700
01,Aguascalientes,01001,Aguascalientes,,,M01.01,Aguascalientes,897331
02,Baja California,02005,Playas de Rosarito,,,M02.03,Tijuana,110683
02,Baja California,02003,Tecate,,,M02.03,Tijuana,115570
02,Baja California,02004,Tijuana,,,M02.03,Tijuana,1798741
02,Baja California,02002,Mexicali,,,M02.02,Mexicali,1065882
02,Baja California,02001,Ensenada,,,M02.01,Ensenada,542896
03,Baja California Sur,03003,La Paz,,,M03.01,La Paz,313204
04,Campeche,04002,Campeche,,,M04.01,Campeche,298741
05,Coahuila de Zaragoza,05035,Torreón,,,M05.01,La Laguna,716672
05,Coahuila de Zaragoza,05022,Nava,,,M05.03,Piedras Negras,30726
05,Coahuila de Zaragoza,05010,Frontera,,,M05.02,Monclova-Frontera,82482
05,Coahuila de Zaragoza,05009,Francisco I. Madero,,,M05.01,La Laguna,61322
05,Coahuila de Zaragoza,05017,Matamoros,,,M05.01,La Laguna,117349
05,Coahuila de Zaragoza,05031,San Buenaventura,,,M05.02,Monclova-Frontera,24927
05,Coahuila de Zaragoza,05025,Piedras Negras,,,M05.03,Piedras Negras,166762
05,Coahuila de Zaragoza,05006,Castaños,,,M05.02,Monclova-Frontera,28546
05,Coahuila de Zaragoza,05004,Arteaga,,,M05.04,Saltillo,25362
05,Coahuila de Zaragoza,05018,Monclova,,,M05.02,Monclova-Frontera,238103
05,Coahuila de Zaragoza,05027,Ramos Arizpe,,,M05.04,Saltillo,92859
05,Coahuila de Zaragoza,05030,Saltillo,,,M05.04,Saltillo,817442
06,Colima,06010,Villa de Álvarez,,,M06.01,Colima-Villa de Álvarez,145486
06,Colima,06005,Cuauhtémoc,,,M06.01,Colima-Villa de Álvarez,29726
06,Colima,06002,Colima,,,M06.01,Colima-Villa de Álvarez,168040
06,Colima,06003,Comala,,,M06.01,Colima-Villa de Álvarez,23164
06,Colima,06001,Armería,,,M06.02,Tecomán,33168
06,Colima,06004,Coquimatlán,,,M06.01,Colima-Villa de Álvarez,22202
06,Colima,06009,Tecomán,,,M06.02,Tecomán,131373
07,Chiapas,07012,Berriozábal,,,M07.02,Tuxtla Gutiérrez,52744
07,Chiapas,07079,San Fernando,,,M07.02,Tuxtla Gutiérrez,37340
07,Chiapas,07089,Tapachula,,,M07.01,Tapachula,369198
07,Chiapas,07101,Tuxtla Gutiérrez,,,M07.02,Tuxtla Gutiérrez,635877
07,Chiapas,07086,Suchiapa,,,M07.02,Tuxtla Gutiérrez,24269
07,Chiapas,07027,Chiapa de Corzo,,,M07.02,Tuxtla Gutiérrez,103288
08,Chihuahua,08002,Aldama,,,M08.01,Chihuahua,25755
08,Chihuahua,08032,Hidalgo del Parral,,,M08.03,Hidalgo del Parral,119343
08,Chihuahua,08019,Chihuahua,,,M08.01,Chihuahua,938713
08,Chihuahua,08021,Delicias,,,M08.02,Delicias,157163
08,Chihuahua,08004,Aquiles Serdán,,,M08.01,Chihuahua,15095
08,Chihuahua,08045,Meoqui,,,M08.02,Delicias,48927
08,Chihuahua,08059,San Francisco del Oro,,,M08.03,Hidalgo del Parral,5052
08,Chihuahua,08037,Juárez,,,M08.04,Juárez,1462133
09,Distrito Federal,09010,Álvaro Obregón,,,M09.01,Valle de México,729014
09,Distrito Federal,09012,Tlalpan,,,M09.01,Valle de México,667260
09,Distrito Federal,09015,Cuauhtémoc,,,M09.01,Valle de México,528442
09,Distrito Federal,09017,Venustiano Carranza,,,M09.01,Valle de México,413939
09,Distrito Federal,09011,Tláhuac,,,M09.01,Valle de México,365943
09,Distrito Federal,09002,Azcapotzalco,,,M09.01,Valle de México,400567
09,Distrito Federal,09003,Coyoacán,,,M09.01,Valle de México,604364
09,Distrito Federal,09013,Xochimilco,,,M09.01,Valle de México,415541
09,Distrito Federal,09004,Cuajimalpa de Morelos,,,M09.01,Valle de México,192823
09,Distrito Federal,09016,Miguel Hidalgo,,,M09.01,Valle de México,377352
09,Distrito Federal,09005,Gustavo A. Madero,,,M09.01,Valle de México,1157758
09,Distrito Federal,09008,La Magdalena Contreras,,,M09.01,Valle de México,241247
09,Distrito Federal,09007,Iztapalapa,,,M09.01,Valle de México,1791658
09,Distrito Federal,09006,Iztacalco,,,M09.01,Valle de México,371186
09,Distrito Federal,09009,Milpa Alta,,,M09.01,Valle de México,137931
09,Distrito Federal,09014,Benito Juárez,,,M09.01,Valle de México,393117
10,Durango,10005,Durango,,,M10.01,Durango,660663
10,Durango,10012,Lerdo,,,M05.01,La Laguna,157655
10,Durango,10007,Gómez Palacio,,,M05.01,La Laguna,364540
11,Guanajuato,11031,San Francisco del Rincón,,,M11.05,San Francisco del Rincón,121748
